"Tm","Pos","Player","G","GS","MP"
"POR","SF","CJ Elleby",12,0,8
"DET","SG","Wayne Ellington",21,18,22.9
"PHI","C","Joel Embiid",23,23,32.5
"ORL","SF","James Ennis",20,19,21.9
"SAS","C","Drew Eubanks",11,0,12.6
"CLE","SG","Dante Exum",6,3,19.3
"BOS","C","Tacko Fall",6,0,8.2
"UTA","C","Derrick Favors",27,0,16.4
"CHI","C","Cristiano Felício",6,0,6.3
"PHI","SG","Terrance Ferguson",7,0,3.4
"ATL","C","Bruno Fernando",15,0,8.8
"CLE","PG","Yogi Ferrell",2,0,20
"DAL","PF","Dorian Finney-Smith",19,19,30.7
"TOR","PG","Malachi Flynn",13,0,8.2
"MIL","SG","Bryn Forbes",28,5,18.4
"UTA","PG","Trent Forrest",4,0,3.3
"ORL","SF","Evan Fournier",15,15,28.7
"SAC","PG","De'Aaron Fox",26,26,33.1
"MEM","PG","Tim Frazier",3,0,11
"ORL","PG","Markelle Fultz",8,8,26.9
"NOP","PF","Wenyen Gabriel",3,0,3.3
"CHI","PF","Daniel Gafford",23,11,14.3
"ATL","PF","Danilo Gallinari",16,1,19.7
"PHO","SG","Langston Galloway",22,0,11.1
"CLE","PG","Darius Garland",21,18,32.3
"LAL","C","Marc Gasol",29,29,20
"SAS","PF","Rudy Gay",26,0,22
"LAC","SF","Paul George",20,20,34
"NYK","PF","Taj Gibson",8,0,13.6
"POR","C","Harry Giles",22,0,11.8
"OKC","SG","Shai Gilgeous-Alexander",22,22,33.7
"WAS","PF","Anthony Gill",10,1,6.5
"UTA","C","Rudy Gobert",29,29,30.3
"ATL","PG","Brandon Goodwin",22,0,12.7
"ORL","PF","Aaron Gordon",19,19,29.1
"HOU","SG","Eric Gordon",22,10,29.4
"CHO","PG","Devonte' Graham",25,25,32.8
"DET","SF","Jerami Grant",28,28,36.3
"PHI","SF","Danny Green",29,29,28.4
"GSW","PF","Draymond Green",24,24,29
"DEN","PF","JaMychal Green",24,3,21.3
"BOS","SG","Javonte Green",18,1,15.3
"BRK","PF","Jeff Green",30,13,26
"DAL","SG","Josh Green",17,5,12.5
"DET","PF","Blake Griffin",20,20,31.3
"SAC","PG","Kyle Guy",10,0,7.9
"WAS","PF","Rui Hachimura",19,19,29.2
"MIN","PG","Ashton Hagans",2,0,2
"SAC","PG","Tyrese Haliburton",25,2,29.4
"OKC","SF","Josh Hall",7,0,7.3
"DEN","PG","R.J. Hampton",21,0,8.6
"DAL","SG","Tim Hardaway Jr.",27,17,30.6
"TOT","SG","James Harden",24,24,37.6
"HOU","SG","James Harden",8,8,36.3
"BRK","SG","James Harden",16,16,38.3
"MIA","SF","Maurice Harkless",10,3,10.9
"NYK","PG","Jared Harper",2,0,2.5
"LAL","C","Montrezl Harrell",29,0,24.6
"DEN","SG","Gary Harris",19,19,30.6
"TOR","SG","Jalen Harris",2,0,2
"BRK","SF","Joe Harris",30,26,30.9
"PHI","PF","Tobias Harris",26,26,34.5
"UTA","SG","Shaquille Harrison",16,0,3.4
"NOP","SF","Josh Hart",28,2,28
"DEN","C","Isaiah Hartenstein",18,0,8.7
"NOP","C","Jaxson Hayes",21,1,11.7
"DET","PG","Killian Hayes",7,7,21.1
"CHO","SF","Gordon Hayward",26,26,35.5
"MIN","PF","Juan Hernangómez",13,6,18.6
"NOP","C","Willy Hernangómez",13,0,17.1
"MIA","SG","Tyler Herro",20,14,34.4
"SAC","SG","Buddy Hield",27,27,34.8
"OKC","PG","George Hill",14,14,26.4
"ATL","PF","Solomon Hill",28,1,19
"DAL","SG","Nate Hinton",6,0,3.2
"IND","PG","Aaron Holiday",29,6,19.9
"MIL","PG","Jrue Holiday",23,23,32.5
"IND","SG","Justin Holiday",29,20,32.2
"SAC","C","Richaun Holmes",25,25,29.6
"POR","SF","Rodney Hood",23,5,19
"OKC","C","Al Horford",19,19,28.2
"LAL","SG","Talen Horton-Tucker",25,0,16.5
"HOU","SF","Danuel House",17,7,27.9
"PHI","C","Dwight Howard",29,4,16.7
"DEN","SG","Markus Howard",14,0,3.4
"ATL","SG","Kevin Huerter",28,17,31.8
"UTA","SF","Elijah Hughes",6,0,4.5
"ATL","SF","De'Andre Hunter",18,18,32.2
"CHI","SF","Chandler Hutchison",7,0,9.1
"LAC","C","Serge Ibaka",29,29,24.2
