"Player","Pos","Age","Tm","G","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"Tomáš Satoranský","SG",29,"CHI",16,0,20,2.3,4.6,0.493,0.7,1.6,0.44,1.6,3,0.521,0.568,1.2,1.3,0.905,0.3,2.4,2.7,4.9,0.6,0.2,1.5,1.3,6.4,320,14.3,0.62,0.342,0.288,1.8,13,7.5,32,1.5,0.8,22.6,14.1,0.6,0.3,0.9,0.128,-0.2,0.4,0.1,0.2
"Tony Bradley","C",23,"PHI",10,1,11.7,1.9,3.6,0.528,0,0.1,0,1.9,3.5,0.543,0.528,0.3,0.5,0.6,2.1,2.9,5,0.6,0.3,0.6,0.1,1.1,4.1,117,20.3,0.537,0.028,0.139,20.4,26.3,23.4,7.3,1.2,4.6,2.6,14.1,0.3,0.2,0.5,0.207,1.9,-0.6,1.3,0.1
"Tony Snell","SG",29,"ATL",15,0,12.9,1.1,2.7,0.4,0.9,1.9,0.483,0.1,0.7,0.182,0.575,0,0,0,0.4,1.2,1.6,0.9,0.1,0.1,0.4,0.9,3.1,193,7.3,0.575,0.725,0,3.4,9.9,6.7,9.9,0.3,0.9,13,10.2,0.1,0.1,0.2,0.052,-1.5,-0.8,-2.3,0
"Torrey Craig","SF",30,"MIL",15,0,11.7,1.1,2.5,0.459,0.5,1.2,0.444,0.6,1.3,0.474,0.568,0.1,0.1,0.5,0.8,1.8,2.6,0.8,0.5,0.3,0.3,1.5,2.9,175,11.6,0.568,0.486,0.054,7.5,15.9,11.8,8.2,2.2,2.6,11.7,10.3,0.2,0.2,0.4,0.123,-1.4,1.2,-0.2,0.1
"Trae Young","PG",22,"ATL",26,26,34.7,7.6,17.7,0.429,2.3,6.2,0.369,5.3,11.5,0.462,0.493,9,10.2,0.887,0.7,3.2,3.8,9.3,0.8,0.3,4.3,2,26.5,901,22.9,0.598,0.349,0.577,2.2,9.7,6,44.5,1.1,0.7,16.2,32.5,2.7,0.5,3.1,0.168,5.8,-1.5,4.3,1.4
"Tre Jones","PG",21,"SAS",9,0,3,0.7,1.3,0.5,0.1,0.1,1,0.6,1.2,0.455,0.542,0.6,0.6,1,0.4,0,0.4,0.1,0,0,0.2,0.2,2,27,19.6,0.634,0.083,0.417,14.9,0,7.7,5.8,0,0,12.3,25.7,0.1,0,0.1,0.151,2.7,-4.3,-1.5,0
"Tremont Waters","PG",23,"BOS",9,1,10,0.7,3,0.222,0.3,1.3,0.25,0.3,1.7,0.2,0.278,0.8,0.9,0.875,0.2,0.7,0.9,2.8,0.6,0,1.4,0.7,2.4,90,5.4,0.36,0.444,0.296,2.4,7.6,5,35.7,2.7,0,29.9,20.7,-0.3,0.1,-0.2,-0.09,-4.9,-2.1,-7,-0.1
"Trent Forrest","PG",22,"UTA",4,0,3.3,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,1,0,0.3,0.3,0.3,0.5,0,0,0.5,0.5,13,9.2,0.347,1,1,0,7.8,4.1,9,7.5,0,0,9.5,0,0,0,0.128,-8.5,7.1,-1.3,0
"Trey Burke","PG",28,"DAL",27,0,17.3,2.9,6.6,0.444,1.3,3.4,0.396,1.6,3.2,0.494,0.545,0.9,1,0.852,0.1,1,1.1,1.6,0.8,0.1,0.6,1.5,8,466,13.7,0.571,0.511,0.152,0.9,6.2,3.5,13.7,2.2,0.4,7.3,19.3,0.6,0.2,0.8,0.08,-0.4,0,-0.4,0.2
"Trey Lyles","PF",25,"SAS",14,2,11.8,1.3,2.6,0.5,0.3,1.1,0.267,1,1.5,0.667,0.556,0.6,1.1,0.6,0.5,2.6,3.1,0.5,0,0,0,0.4,3.5,165,11.6,0.575,0.417,0.417,4.3,23.2,13.5,5.6,0,0,0,11.1,0.3,0.1,0.4,0.116,-0.5,-1.1,-1.6,0
"Tristan Thompson","PF",29,"BOS",26,21,22.5,2.8,5.6,0.507,0,0.1,0,2.8,5.5,0.514,0.507,1.3,2.1,0.611,2.9,5.4,8.3,0.8,0.3,0.3,0.9,2.2,7,586,13.6,0.533,0.014,0.37,14.1,27.3,20.5,5,0.7,1.4,12.4,14.1,0.6,0.7,1.3,0.107,-1.5,-1.6,-3.1,-0.2
"Troy Brown Jr.","SF",21,"WAS",13,0,15.8,1.7,4.8,0.355,0.8,2.8,0.306,0.8,2,0.423,0.444,0.5,0.9,0.583,0.6,2.8,3.5,1,0.2,0.2,0.9,1.8,4.8,205,5.4,0.461,0.581,0.194,3.9,19.6,11.5,8.5,0.5,0.8,15.1,16,-0.2,0.1,-0.1,-0.034,-4.1,-2.3,-6.3,-0.2
"Ty-Shon Alexander","SG",22,"PHO",3,0,2.7,0,1,0,0,0.3,0,0,0.7,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,0,8,-11.9,0,0.333,0,0,13.6,6.9,14.7,0,0,0,16.8,-0.1,0,-0.1,-0.327,-16.4,-4.8,-21.2,0
"Tyler Bey","SF",22,"DAL",4,0,3.3,0.5,1.3,0.4,0,0,0,0.5,1.3,0.4,0.4,0.5,1,0.5,0.5,0.3,0.8,0,0,0.3,0,0.5,1.5,13,14,0.444,0,0.8,16.8,8.5,12.7,0,0,7.3,0,22.8,0,0,0,0.057,-1.1,-3.4,-4.5,0
"Tyler Herro","SG",21,"MIA",20,14,34.4,6.5,14.8,0.437,2.1,6.2,0.339,4.4,8.6,0.509,0.508,2,2.5,0.78,0.5,5.9,6.3,3.9,0.5,0.5,2.6,1.7,17,687,12.1,0.535,0.42,0.169,1.6,18.1,10.3,18.8,0.6,1.5,14.1,23.9,-0.4,0.7,0.3,0.021,-1.2,-1.4,-2.6,-0.1
"Tyler Johnson","SG",28,"BRK",13,1,12.2,1.6,3.6,0.447,1.2,2.5,0.469,0.5,1.2,0.4,0.606,0.2,0.2,1,0.2,1,1.2,0.8,0.3,0,0.3,0.6,4.5,159,11.1,0.616,0.681,0.043,1.5,8.7,5.3,9,1.2,0,7.7,14.1,0.2,0,0.3,0.079,-0.7,-1.6,-2.3,0
"Tyrell Terry","PG",20,"DAL",11,0,5.1,0.5,1.5,0.313,0,0.6,0,0.5,0.8,0.556,0.313,0.1,0.3,0.333,0,0.5,0.5,0.5,0.5,0,0.2,0.2,1,56,6,0.318,0.438,0.188,0,11.8,5.9,14.2,4.3,0,10.4,15.1,-0.1,0.1,-0.1,-0.067,-7.7,2.2,-5.5,-0.1
"Tyrese Haliburton","PG",20,"SAC",25,2,29.4,4.8,9.6,0.498,2.3,5.2,0.443,2.4,4.3,0.565,0.619,0.6,0.7,0.824,1,2.6,3.6,5.2,1.2,0.6,1.6,1.2,12.4,734,17.5,0.629,0.548,0.071,3.7,9.6,6.6,24.9,2,1.7,14.3,16.7,1.6,0.2,1.7,0.114,2.9,-0.7,2.3,0.8
"Tyrese Maxey","SG",20,"PHI",28,6,16.9,3.7,8.1,0.456,0.5,1.9,0.278,3.1,6.1,0.512,0.489,0.8,0.9,0.88,0.2,1.7,1.9,1.7,0.5,0.1,0.6,1.2,8.7,472,13.4,0.513,0.239,0.111,1.4,10.6,6.2,15.8,1.5,0.6,7.1,22.8,0.2,0.4,0.6,0.066,-1.8,-0.9,-2.7,-0.1
"Tyus Jones","PG",24,"MEM",24,8,23.5,3.3,8,0.406,0.7,2.8,0.25,2.5,5.2,0.492,0.451,0.5,0.6,0.8,0.6,2.1,2.8,5.3,1.3,0.1,1,0.5,7.7,565,14.2,0.466,0.354,0.078,2.8,10.2,6.4,30.5,2.7,0.5,10.4,16.7,0.4,0.5,1,0.083,-0.8,0.3,-0.6,0.2
"Udoka Azubuike","C",21,"UTA",12,0,4.1,0.3,0.6,0.571,0,0,0,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0,0.1,0.3,0.3,0.7,1,49,10.6,0.622,0,0.857,9.1,18.6,14.1,0,1,6.5,23.7,11.1,0,0.1,0.1,0.114,-5.5,1.2,-4.3,0
"Vernon Carey Jr.","C",19,"CHO",3,0,2,0.3,1,0.333,0,0.3,0,0.3,0.7,0.5,0.333,0.3,0.7,0.5,0.7,0.3,1,0.3,0,0.3,0,0,1,6,29.8,0.387,0.333,0.667,35,18.1,26.7,24.5,0,16.8,0,27.5,0,0,0,0.197,7.5,-0.1,7.4,0
"Victor Oladipo","SG",28,"HOU",11,11,30.9,6.9,17.9,0.386,2.1,7,0.299,4.8,10.9,0.442,0.444,2.5,3.3,0.75,0.3,4.5,4.8,4.9,1.1,0.5,2.4,2.3,18.4,340,13.2,0.475,0.391,0.183,0.9,15.7,8.3,26.7,1.7,1.5,10.9,29.9,-0.4,0.5,0,0.005,-1.7,-0.2,-1.9,0
"Victor Oladipo","SG",28,"IND",9,9,33.3,7.1,16.9,0.421,2.8,7.7,0.362,4.3,9.2,0.47,0.503,3,4.1,0.73,0.1,5.6,5.7,4.2,1.7,0.2,2,2.6,20,300,16,0.535,0.454,0.243,0.4,18.1,9.4,19.2,2.4,0.6,9.7,27,0.1,0.4,0.5,0.073,1.5,-0.8,0.6,0.2
"Victor Oladipo","SG",28,"TOT",20,20,32,7,17.5,0.401,2.4,7.3,0.329,4.6,10.2,0.453,0.47,2.7,3.7,0.74,0.2,5,5.2,4.6,1.4,0.4,2.2,2.4,19.1,640,14.5,0.501,0.418,0.209,0.7,16.9,8.8,23.2,2,1.1,10.4,28.5,-0.4,0.9,0.5,0.037,-0.2,-0.5,-0.7,0.2
"Vincent Poirier","C",27,"PHI",4,0,4.5,0.3,0.8,0.333,0,0,0,0.3,0.8,0.333,0.333,0.5,1,0.5,0.5,0.5,1,0.3,0,0.5,0.3,0.3,1,18,10.4,0.42,0,1.333,12.6,11.8,12.2,6.9,0,9.9,17.4,13.5,0,0,0,0.038,-4,0.1,-3.8,0
"Vlatko Čančar","PF",23,"DEN",13,0,3.5,0.2,1.1,0.214,0.1,0.6,0.125,0.2,0.5,0.333,0.25,0.1,0.2,0.5,0.2,0.7,0.9,0.1,0.3,0.2,0.4,0.2,0.6,45,2.1,0.269,0.571,0.143,7.5,22.7,15.1,2.7,4.4,4.3,25.2,19.2,-0.2,0.1,-0.1,-0.158,-9.6,-0.7,-10.3,-0.1
"Wayne Ellington","SG",33,"DET",21,18,22.9,3.7,8,0.456,2.7,6.2,0.438,1,1.9,0.513,0.624,0.6,0.8,0.75,0.3,1.6,2,1.1,0.4,0.2,0.7,1.5,10.6,481,12.8,0.633,0.769,0.095,1.6,8.3,4.8,8,0.8,0.8,7.4,17.1,0.7,0.2,0.9,0.092,1.9,-1.9,0,0.2
"Wendell Carter Jr.","C",21,"CHI",16,16,26.6,4.8,8.6,0.551,0.3,0.9,0.267,4.5,7.7,0.585,0.565,3.3,4.5,0.722,2.2,5.6,7.8,2.2,0.7,0.7,1.9,3,13,425,17.1,0.613,0.109,0.522,9.3,22.9,16.2,11.8,1.2,2.3,15.4,20.1,0.7,0.5,1.2,0.134,-1,-0.4,-1.4,0.1
"Wenyen Gabriel","PF",23,"NOP",3,0,3.3,0,1,0,0,0.3,0,0,0.7,0,0,0,0,0,0.3,1,1.3,0.3,0,0,0,0,0,10,-1.4,0,0.333,0,11.1,33.3,22.2,11.4,0,0,0,12.8,0,0,0,-0.178,-7.1,-5.6,-12.7,0
"Wesley Iwundu","SF",26,"DAL",17,3,13.6,0.8,2.7,0.283,0.2,1.4,0.13,0.6,1.4,0.435,0.315,0.5,0.6,0.8,0.3,1.6,1.9,0.5,0.4,0.1,0.2,1.2,2.2,232,3.6,0.367,0.5,0.217,2.4,13.3,7.8,4.4,1.5,0.8,7.4,10.3,-0.3,0.1,-0.1,-0.028,-6.2,-0.2,-6.4,-0.3
"Wesley Matthews","SG",34,"LAL",22,1,20.4,1.6,4.1,0.4,1.3,3.3,0.384,0.4,0.8,0.471,0.556,0.5,0.7,0.8,0.4,1,1.4,1.1,0.5,0.4,0.4,1.5,5.1,449,8.2,0.58,0.811,0.167,2.1,5.3,3.7,7.1,1.1,1.5,7.6,10.1,0.4,0.6,1,0.11,-1.8,0.2,-1.5,0
"Will Barton","SF",30,"DEN",25,21,29.8,4.4,10,0.436,1.6,4,0.404,2.8,6,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6,744,11.6,0.54,0.396,0.176,1.8,12.4,7.1,14.7,1.3,1.4,12.4,17.9,0.4,0.5,0.9,0.06,-0.9,-1.3,-2.2,0
"Willie Cauley-Stein","C",27,"DAL",26,10,17.5,2.4,3.8,0.626,0,0.2,0.2,2.3,3.6,0.649,0.631,1.1,1.7,0.636,1.3,3.3,4.6,0.8,0.3,0.7,0.5,2.5,5.9,454,14.8,0.646,0.051,0.444,7.9,21.2,14.5,6.2,1,4,10.6,12.8,0.9,0.4,1.3,0.137,-1.8,0.5,-1.4,0.1
"Willy Hernangómez","C",26,"NOP",13,0,17.1,2.8,5.1,0.545,0.1,0.4,0.2,2.7,4.7,0.574,0.553,1.2,1.8,0.652,2.6,3.8,6.5,1.2,0.5,0.4,0.4,1.1,6.8,222,20.6,0.578,0.076,0.348,17,25,21,9.5,1.3,2.3,6.2,15.6,0.7,0.2,0.8,0.181,1.8,-2,-0.2,0.1
"Xavier Tillman Sr.","PF",22,"MEM",19,6,21.2,3.4,6.3,0.546,0.5,1.3,0.375,2.9,5,0.589,0.584,0.6,0.8,0.75,1.4,3.1,4.5,1.6,1,0.6,0.9,2.5,7.9,402,15,0.599,0.202,0.134,6.9,16.6,11.7,10.7,2.3,2.7,11.9,15.1,0.5,0.5,1,0.12,-1.5,0.7,-0.8,0.1
"Yogi Ferrell","PG",27,"CLE",2,0,20,4,10.5,0.381,1.5,4.5,0.333,2.5,6,0.417,0.452,0,1,0,1.5,2,3.5,2.5,1.5,0.5,1.5,2,9.5,40,12.7,0.434,0.429,0.095,8,11.5,9.7,20.5,3.7,2.3,12.1,26.7,-0.1,0,0,-0.028,-1.9,0.4,-1.5,0
"Yuta Watanabe","SF",26,"TOR",18,0,12.4,1,2.8,0.353,0.7,1.6,0.429,0.3,1.3,0.261,0.471,0.4,0.4,1,0.9,2.4,3.3,0.4,0.5,0.6,0.4,1.1,3.1,223,11.1,0.514,0.549,0.157,7.7,22.1,14.6,4.1,1.9,5,12.8,12,0.1,0.3,0.4,0.085,-2,0,-2,0
"Zach LaVine","SG",25,"CHI",27,27,35.6,10.2,19.6,0.52,3.6,8.2,0.437,6.6,11.4,0.58,0.612,4.5,5.3,0.847,0.8,4.7,5.5,5.2,1.1,0.4,3.9,2.6,28.5,962,22.7,0.649,0.42,0.272,2.6,14.4,8.6,24.7,1.5,1.1,14.9,30.7,2.3,0.9,3.1,0.156,4.9,-0.8,4.1,1.5
"Zeke Nnaji","PF",20,"DEN",15,0,7.5,1.1,2.1,0.5,0.7,1.3,0.5,0.4,0.8,0.5,0.656,0.1,0.3,0.5,0.3,0.5,0.9,0,0.1,0.1,0,0.5,2.9,112,12.5,0.652,0.625,0.125,5,8.1,6.6,0,0.4,0.9,0,13.1,0.2,0,0.3,0.117,1,-3.1,-2.1,0
"Zion Williamson","PF",20,"NOP",27,27,32.6,9.6,15.6,0.618,0.2,0.6,0.375,9.4,15,0.627,0.625,5.6,7.7,0.718,2.4,4.4,6.8,3.1,1,0.7,2.3,2.6,25,880,27,0.659,0.038,0.496,8.2,14.9,11.5,16.2,1.5,2.2,10.8,27.8,3.4,0.5,3.9,0.215,4.6,-0.1,4.5,1.5
