"Player","Pos","Age","Tm","G","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"Rodions Kurucs","PF",22,"BRK",5,0,3.2,0.2,0.6,0.333,0.2,0.4,0.5,0,0.2,0,0.5,0,0,0,0,0.6,0.6,0.4,0,0,0,0.2,0.6,16,7.6,0.5,0.667,0,0,19.9,10.5,14.9,0,0,0,8.1,0,0,0,0.075,-1.2,0.4,-0.8,0
"Rodions Kurucs","SF-PF",22,"TOT",14,0,5.2,0.4,1.4,0.3,0.2,1,0.214,0.2,0.4,0.5,0.375,0.1,0.1,0.5,0.1,0.7,0.9,0.3,0.4,0.1,0.5,0.6,1.1,73,3.2,0.383,0.7,0.1,2.9,14.6,8.8,7,3.2,2.4,25.1,16.3,-0.2,0.1,-0.1,-0.079,-8.5,1.9,-6.6,-0.1
"Rodions Kurucs","SF",22,"HOU",9,0,6.3,0.6,1.9,0.294,0.2,1.3,0.167,0.3,0.6,0.6,0.353,0.1,0.2,0.5,0.2,0.8,1,0.2,0.6,0.2,0.8,0.8,1.4,57,2,0.364,0.706,0.118,3.7,13.1,8.4,4.8,4.1,3,28.1,18.6,-0.3,0.1,-0.1,-0.122,-10.6,2.3,-8.3,-0.1
"Rodney Hood","SF",28,"POR",23,5,19,2.1,5.7,0.366,0.6,2,0.298,1.5,3.7,0.405,0.42,0.2,0.3,0.667,0.2,1.5,1.7,1.2,0.7,0.1,0.8,1.4,5,436,5,0.427,0.359,0.046,0.9,8.9,4.8,8.7,1.7,0.4,11.9,14.9,-0.6,0.1,-0.4,-0.047,-6.3,-1.7,-8,-0.7
"Rodney McGruder","SG",29,"DET",8,0,8,1.1,2.4,0.474,0.4,0.9,0.429,0.8,1.5,0.5,0.553,0.4,0.4,1,0.4,0.8,1.1,0.8,0,0.1,0.5,0.5,3,64,11.1,0.591,0.368,0.158,5.1,11,7.9,14.5,0,1.4,16.4,16.4,0.1,0,0.1,0.056,-0.9,-1.7,-2.5,0
"Royce O'Neale","SF",27,"UTA",29,29,32.6,2.7,5.8,0.462,1.8,4.1,0.429,0.9,1.7,0.54,0.612,0.8,0.9,0.846,1.1,5.7,6.9,2.3,0.8,0.7,1.1,2.9,7.9,944,10.5,0.635,0.704,0.154,3.9,17.8,11.2,9.1,1.2,1.6,15.5,9.7,1.2,1.5,2.7,0.135,-1.1,1.7,0.6,0.6
"Rudy Gay","PF",34,"SAS",26,0,22,4.2,9.9,0.419,1.6,4.3,0.366,2.6,5.6,0.459,0.498,1.3,1.7,0.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2,572,13.9,0.524,0.434,0.167,4.2,20.6,12.2,10.1,1.5,1.9,9.8,23,-0.1,0.8,0.7,0.058,-0.6,-0.7,-1.3,0.1
"Rudy Gobert","C",28,"UTA",29,29,30.3,5.4,8.5,0.64,0,0,0,5.4,8.5,0.642,0.64,3.3,5.8,0.581,3.5,9.9,13.4,1.3,0.4,2.7,1.6,2.2,14.2,878,23.2,0.644,0.004,0.676,12.9,33.2,23.5,6.3,0.7,7.1,12.8,18,2.2,2.1,4.3,0.237,1.7,2,3.6,1.3
"Rui Hachimura","PF",22,"WAS",19,19,29.2,4.7,10.3,0.454,0.8,2.6,0.3,3.9,7.7,0.507,0.492,3.1,3.9,0.784,1.2,4.3,5.4,2,0.6,0.1,1,2.1,13.2,555,12.9,0.549,0.255,0.378,4,15.8,9.7,9.9,1,0.3,7.7,18.4,0.6,0.3,0.8,0.071,-1,-2,-3,-0.1
"Russell Westbrook","PG",32,"WAS",19,19,33.2,7.3,17.9,0.406,1.2,4.1,0.295,6.1,13.8,0.439,0.44,3.2,5.1,0.619,1.8,7.6,9.4,9.5,0.8,0.4,4.9,2.8,18.9,631,14.4,0.469,0.229,0.285,5.4,24.9,14.9,45.3,1.2,1,19.7,31.2,-1,0.5,-0.4,-0.034,-0.1,-1.7,-1.8,0
